date,close,gain,loss,avg_gain,avg_loss,rsi
1,54.8,0,0,0,0,0
2,56.8,2.0,0,0,0,0
3,57.85,1.05,0,0,0,0
4,59.85,2.0,0,0,0,0
5,60.57,0.72,0,0,0,0
6,61.1,0.53,0,0,0,0
7,62.17,1.07,0,0,0,0
8,60.6,0,1.57,0,0,0
9,62.35,1.75,0,0,0,0
10,62.15,0,0.2,0,0,0
11,62.35,0.2,0,0,0,0
12,61.45,0,0.9,0,0,0
13,62.8,1.35,0,0,0,0
14,61.37,0,1.43,0,0,0
15,62.5,1.13,0,0.84,0.29,74.36
16,62.57,0.07,0,0.79,0.27,74.55
17,60.8,0,1.77,0.73,0.38,65.75
18,59.37,0,1.43,0.68,0.46,59.68
19,60.35,0.98,0,0.7,0.43,61.98
20,62.35,2.0,0,0.79,0.4,66.44
21,62.17,0,0.18,0.73,0.38,65.75
22,62.55,0.38,0,0.71,0.35,67.0
23,64.55,2.0,0,0.8,0.33,70.76
24,64.37,0,0.18,0.74,0.32,69.79
25,65.3,0.93,0,0.75,0.3,71.43
26,64.42,0,0.88,0.7,0.34,67.32
27,62.9,0,1.52,0.65,0.42,60.78
28,61.6,0,1.3,0.6,0.48,55.56
29,62.05,0.45,0,0.59,0.45,56.71
30,60.05,0,2.0,0.55,0.56,49.49
31,59.7,0,0.35,0.51,0.55,48.19
32,60.9,1.2,0,0.56,0.51,52.38
33,60.25,0,0.65,0.52,0.52,50.0
34,58.27,0,1.98,0.48,0.62,43.5
35,58.7,0.43,0,0.48,0.58,45.36
36,57.72,0,0.98,0.45,0.61,42.53
37,58.1,0.38,0,0.45,0.57,44.13
38,58.2,0.1,0,0.42,0.53,44.13
